vcestil,vcmater,vccolor,estilo-mat-col,programa,asignado,fpespunte,qfpespu,fmontado,qfmonta,totpares
18661,PC,BE,18661PCBE,27/11/2015,1,  -   -,0,18/01/2016,1,445
10303,SI,CA,10303SICA,04/12/2015,6,  -   -,0,05/01/2016,1,98
10303,SI,NE,10303SINE,04/12/2015,6,  -   -,0,05/01/2016,1,120
10303,SI,CA,10303SICA,08/12/2015,6,  -   -,0,07/01/2016,1,200
10303,SI,NE,10303SINE,08/12/2015,6,  -   -,0,07/01/2016,1,200
10302,PI,NE,10302PINE,11/12/2015,26,  -   -,0,05/01/2016,1,110
10302,PI,RS,10302PIRS,11/12/2015,26,  -   -,0,05/01/2016,1,120
12647,VB,NE,12647VBNE,11/12/2015,2,  -   -,0,06/01/2016,1,652
12647,VB,TU,12647VBTU,11/12/2015,2,  -   -,0,07/01/2016,1,236
18661,AT,NE,18661ATNE,14/12/2015,1,  -   -,0,11/01/2016,1,847
10290,TX,FI,10290TXFI,15/12/2015,5,  -   -,0,08/01/2016,1,200
10290,TX,NE,10290TXNE,15/12/2015,5,  -   -,0,08/01/2016,1,200
18661,AT,NE,18661ATNE,15/12/2015,1,  -   -,0,21/01/2016,1,492
18661,PC,NE,18661PCNE,15/12/2015,1,  -   -,0,21/01/2016,1,199
10302,PI,NE,10302PINE,16/12/2015,6,  -   -,0,11/01/2016,1,300
10302,PI,RS,10302PIRS,16/12/2015,6,  -   -,0,11/01/2016,1,200
18661,PC,NE,18661PCNE,16/12/2015,1,  -   -,0,30/01/2016,1,986
SAYZA,MZ,NE,SAYZAMZNE,17/12/2015,12,  -   -,0,05/01/2016,1,39
10291,CH,AL,10291CHAL,18/12/2015,2,  -   -,0,13/01/2016,1,300
10291,CH,RO,10291CHRO,18/12/2015,2,  -   -,0,13/01/2016,1,300
18661,PC,BE,18661PCBE,18/12/2015,1,  -   -,0,19/01/2016,1,523
10302,PI,NE,10302PINE,21/12/2015,6,  -   -,0,18/01/2016,1,300
10302,PI,RS,10302PIRS,21/12/2015,6,  -   -,0,18/01/2016,1,200
18661,PC,BE,18661PCBE,21/12/2015,1,  -   -,0,12/02/2016,1,980
24691,NU,NE,24691NUNE,21/12/2015,5,  -   -,0,16/01/2016,1,504
24553,PI,BL,24553PIBL,22/12/2015,1,  -   -,0,09/02/2016,1,496
24691,NU,TU,24691NUTU,22/12/2015,5,  -   -,0,16/01/2016,1,510
24553,PI,NE,24553PINE,23/12/2015,1,  -   -,0,09/02/2016,1,442
11077,VB,BL,11077VBBL,04/01/2016,5,  -   -,0,01/02/2016,1,600
24553,PI,TN,24553PITN,04/01/2016,1,  -   -,0,10/02/2016,1,206
24690,NU,BE,24690NUBE,05/01/2016,4,  -   -,0,16/01/2016,1,60
24690,NU,GR,24690NUGR,05/01/2016,4,  -   -,0,16/01/2016,1,120
24690,NU,NE,24690NUNE,05/01/2016,4,  -   -,0,16/01/2016,1,216
24690,NU,RS,24690NURS,05/01/2016,4,  -   -,0,16/01/2016,1,21
24690,NU,TU,24690NUTU,05/01/2016,4,  -   -,0,16/01/2016,1,81
24690,NU,GR,24690NUGR,06/01/2016,4,  -   -,0,27/01/2016,1,204
24690,NU,NE,24690NUNE,06/01/2016,4,  -   -,0,27/01/2016,1,204
24690,NU,RS,24690NURS,06/01/2016,4,  -   -,0,27/01/2016,1,149
24690,NU,TU,24690NUTU,06/01/2016,4,  -   -,0,27/01/2016,1,204
10302,PI,NE,10302PINE,11/01/2016,6,  -   -,0,23/01/2016,1,300
10302,PI,RS,10302PIRS,11/01/2016,6,  -   -,0,21/01/2016,1,200
10329,CH,NE,10329CHNE,11/01/2016,4,  -   -,0,28/01/2016,1,300
10329,CH,RO,10329CHRO,11/01/2016,14,  -   -,0,25/01/2016,1,300
10302,PI,NE,10302PINE,13/01/2016,16,  -   -,0,29/01/2016,1,300
10302,PI,RS,10302PIRS,13/01/2016,16,  -   -,0,25/01/2016,1,200
10329,CH,NE,10329CHNE,14/01/2016,4,  -   -,0,30/01/2016,1,300
10329,CH,RO,10329CHRO,14/01/2016,4,  -   -,0,30/01/2016,1,300
10299,PI,NE,10299PINE,15/01/2016,1,  -   -,0,03/02/2016,1,200
10299,PI,YL,10299PIYL,15/01/2016,1,  -   -,0,30/01/2016,1,300
19356,TX,PL,19356TXPL,15/01/2016,11,  -   -,0,23/01/2016,1,172
24690,NU,BE,24690NUBE,18/01/2016,4,  -   -,0,30/01/2016,1,404
24690,NU,TU,24690NUTU,18/01/2016,4,  -   -,0,03/02/2016,1,550
24690,NU,NE,24690NUNE,19/01/2016,4,  -   -,0,03/02/2016,1,638
18661,AT,NE,18661ATNE,25/01/2016,1,  -   -,0,09/02/2016,1,624
10303,SI,CA,10303SICA,26/01/2016,6,  -   -,0,09/02/2016,1,200
10303,SI,NE,10303SINE,26/01/2016,6,  -   -,0,09/02/2016,1,200
10329,CH,NE,10329CHNE,26/01/2016,4,  -   -,0,09/02/2016,1,300
10329,CH,RO,10329CHRO,26/01/2016,4,  -   -,0,09/02/2016,1,300
18661,AT,NE,18661ATNE,26/01/2016,1,  -   -,0,13/02/2016,1,493
18661,PC,BE,18661PCBE,26/01/2016,11,  -   -,0,18/02/2016,1,726
10302,PI,NE,10302PINE,27/01/2016,6,  -   -,0,09/02/2016,1,13
18661,PC,BE,18661PCBE,27/01/2016,1,  -   -,0,20/02/2016,1,810
18661,PC,NE,18661PCNE,28/01/2016,1,  -   -,0,17/02/2016,1,980
10302,PI,NE,10302PINE,29/01/2016,6,  -   -,0,11/02/2016,1,300
10302,PI,RS,10302PIRS,29/01/2016,6,  -   -,0,12/02/2016,1,200
13279,CH,M_,13279CHM_,02/02/2016,4,  -   -,0,23/02/2016,1,12
13279,CH,NE,13279CHNE,02/02/2016,4,  -   -,0,23/02/2016,1,447
13279,CH,PA,13279CHPA,02/02/2016,4,  -   -,0,23/02/2016,1,461
13279,CH,ZG,13279CHZG,02/02/2016,4,  -   -,0,29/02/2016,1,20
2458,SI,NE,2458SINE,03/02/2016,14,  -   -,0,09/02/2016,1,20
2461,SI,VI,2461SIVI,03/02/2016,14,  -   -,0,09/02/2016,1,10
10303,SI,CA,10303SICA,04/02/2016,16,  -   -,0,19/02/2016,1,107
10303,SI,NE,10303SINE,04/02/2016,16,  -   -,0,19/02/2016,1,104
10525,CH,NE,10525CHNE,04/02/2016,1,  -   -,0,18/03/2016,1,44
10525,CH,PA,10525CHPA,04/02/2016,1,  -   -,0,18/03/2016,1,35
10525,CH,RO,10525CHRO,04/02/2016,1,  -   -,0,16/03/2016,1,22
11123,CH,PA,11123CHPA,04/02/2016,1,  -   -,0,02/04/2016,1,202
11123,NB,NE,11123NBNE,04/02/2016,1,  -   -,0,07/04/2016,1,223
95151,SM,NE,95151SMNE,04/02/2016,1,  -   -,0,16/03/2016,1,60
95151,SM,PA,95151SMPA,04/02/2016,1,  -   -,0,18/03/2016,1,60
10526,AN,NE,10526ANNE,05/02/2016,4,  -   -,0,16/03/2016,1,55
11119,NA,B5,11119NAB5,05/02/2016,6,  -   -,0,06/04/2016,1,63
11119,NA,NE,11119NANE,05/02/2016,6,  -   -,0,07/04/2016,1,69
11119,NA,P5,11119NAP5,05/02/2016,6,  -   -,0,07/04/2016,1,96
13602,VB,NE,13602VBNE,05/02/2016,1,  -   -,0,31/03/2016,1,8
14501,CH,NE,14501CHNE,05/02/2016,1,  -   -,0,31/03/2016,1,50
14501,CH,PA,14501CHPA,05/02/2016,1,  -   -,0,02/04/2016,1,8
11077,CH,NE,11077CHNE,09/02/2016,5,  -   -,0,30/03/2016,1,56
11077,CH,PA,11077CHPA,09/02/2016,5,  -   -,0,01/04/2016,1,107
11077,P1,NE,11077P1NE,09/02/2016,5,  -   -,0,31/03/2016,1,104
18661,AT,NE,18661ATNE,09/02/2016,1,  -   -,0,27/02/2016,1,867
11077,CH,ZG,11077CHZG,10/02/2016,5,  -   -,0,31/03/2016,1,30
11077,P1,BL,11077P1BL,10/02/2016,5,  -   -,0,30/03/2016,1,94
11077,TX,PL,11077TXPL,10/02/2016,5,  -   -,0,01/04/2016,1,24
11077,VB,BL,11077VBBL,10/02/2016,5,  -   -,0,07/04/2016,1,38
11077,VB,BN,11077VBBN,10/02/2016,5,  -   -,0,06/04/2016,1,18
18661,PC,NE,18661PCNE,10/02/2016,1,  -   -,0,08/03/2016,1,1074
18661,PC,BE,18661PCBE,11/02/2016,1,  -   -,0,08/03/2016,1,1305
90071,VB,NE,90071VBNE,11/02/2016,5,  -   -,0,30/03/2016,1,44
90071,VB,PL,90071VBPL,11/02/2016,5,  -   -,0,30/03/2016,1,12
90071,VB,RS,90071VBRS,11/02/2016,5,  -   -,0,28/03/2016,1,24
90072,EP,OM,90072EPOM,11/02/2016,5,  -   -,0,30/03/2016,1,32
90072,NA,PA,90072NAPA,11/02/2016,5,  -   -,0,29/03/2016,1,52
10329,CH,NE,10329CHNE,12/02/2016,14,  -   -,0,23/02/2016,1,300
10329,CH,RO,10329CHRO,12/02/2016,14,  -   -,0,23/02/2016,1,500
10291,CH,AL,10291CHAL,16/02/2016,12,  -   -,0,26/02/2016,1,689
10302,PI,RS,10302PIRS,16/02/2016,16,  -   -,0,02/03/2016,1,500
14076,YU,MC,14076YUMC,16/02/2016,12,  -   -,0,26/02/2016,1,300
10291,CH,AL,10291CHAL,17/02/2016,12,  -   -,0,02/03/2016,1,800
12647,VB,NE,12647VBNE,17/02/2016,1,  -   -,0,28/03/2016,1,1034
12647,GL,CH,12647GLCH,18/02/2016,2,  -   -,0,31/03/2016,1,7
12647,GL,PL,12647GLPL,18/02/2016,2,  -   -,0,22/03/2016,1,27
12647,VB,BL,12647VBBL,18/02/2016,2,  -   -,0,31/03/2016,1,186
12647,VB,M_,12647VBM_,18/02/2016,2,  -   -,0,28/03/2016,1,92
12647,VB,OF,12647VBOF,18/02/2016,2,  -   -,0,30/03/2016,1,18
12691,EC,OR,12691ECOR,18/02/2016,2,  -   -,0,23/03/2016,1,9
12691,EC,PL,12691ECPL,18/02/2016,2,  -   -,0,23/03/2016,1,9
10290,TX,NE,10290TXNE,22/02/2016,15,  -   -,0,07/03/2016,1,98
10302,PI,RS,10302PIRS,22/02/2016,16,  -   -,0,03/03/2016,1,400
10291,CH,AL,10291CHAL,23/02/2016,12,  -   -,0,07/03/2016,1,1000
18661,AT,NE,18661ATNE,24/02/2016,11,  -   -,0,25/02/2016,1,4
18661,PC,BE,18661PCBE,24/02/2016,11,  -   -,0,25/02/2016,1,4
18661,PC,NE,18661PCNE,24/02/2016,11,  -   -,0,25/02/2016,1,3
10303,SI,NE,10303SINE,25/02/2016,16,  -   -,0,11/03/2016,1,499
10303,SI,NE,10303SINE,26/02/2016,16,  -   -,0,14/03/2016,1,500
10302,PI,NE,10302PINE,29/02/2016,16,  -   -,0,11/03/2016,1,197
10303,SI,CA,10303SICA,29/02/2016,16,  -   -,0,11/03/2016,1,299
11123,CH,PA,11123CHPA,29/02/2016,1,  -   -,0,08/04/2016,1,176
11123,NB,NE,11123NBNE,29/02/2016,1,  -   -,0,08/04/2016,1,680
11123,VB,SG,11123VBSG,29/02/2016,1,  -   -,0,09/04/2016,1,164
10302,PI,RS,10302PIRS,01/03/2016,16,  -   -,0,17/03/2016,1,596
11123,CH,PA,11123CHPA,01/03/2016,1,  -   -,0,07/04/2016,1,36
11122,BO,NE,11122BONE,02/03/2016,6,  -   -,0,30/03/2016,1,185
11122,VB,P7,11122VBP7,02/03/2016,6,  -   -,0,23/03/2016,1,215
11122,VB,SG,11122VBSG,02/03/2016,6,  -   -,0,23/03/2016,1,410
95151,AN,BU,95151ANBU,02/03/2016,1,  -   -,0,08/04/2016,1,3
11119,NA,B5,11119NAB5,03/03/2016,6,  -   -,0,05/04/2016,1,188
11119,NA,NE,11119NANE,03/03/2016,6,  -   -,0,05/04/2016,1,270
11119,NA,P5,11119NAP5,03/03/2016,6,  -   -,0,06/04/2016,1,98
18661,AT,NE,18661ATNE,03/03/2016,11,  -   -,0,08/03/2016,1,1
18661,PC,BE,18661PCBE,03/03/2016,11,  -   -,0,08/03/2016,1,4
18661,PC,NE,18661PCNE,03/03/2016,11,  -   -,0,08/03/2016,1,5
P5016,PI,TU,P5016PITU,03/03/2016,3,  -   -,0,18/04/2016,1,5
P5017,PI,NE,P5017PINE,03/03/2016,3,  -   -,0,12/04/2016,1,31
P5023,PI,NE,P5023PINE,03/03/2016,3,  -   -,0,13/04/2016,1,16
P5024,PI,CG,P5024PICG,03/03/2016,3,  -   -,0,12/04/2016,1,17
P5078,PI,CG,P5078PICG,03/03/2016,3,  -   -,0,18/04/2016,1,28
P5079,PI,NE,P5079PINE,03/03/2016,3,  -   -,0,18/04/2016,1,18
P5083,PI,NE,P5083PINE,03/03/2016,3,  -   -,0,12/04/2016,1,19
P5102,PJ,CA,P5102PJCA,03/03/2016,3,  -   -,0,14/04/2016,1,4
10303,SI,NE,10303SINE,04/03/2016,16,  -   -,0,17/03/2016,1,599
10291,CH,AL,10291CHAL,07/03/2016,12,  -   -,0,17/03/2016,1,296
10302,PI,NE,10302PINE,07/03/2016,16,  -   -,0,18/03/2016,1,399
10303,SI,CA,10303SICA,07/03/2016,16,  -   -,0,17/03/2016,1,200
11077,CH,NE,11077CHNE,07/03/2016,4,  -   -,0,30/03/2016,1,206
11077,CH,PA,11077CHPA,07/03/2016,4,  -   -,0,31/03/2016,1,229
11077,P1,BL,11077P1BL,07/03/2016,4,  -   -,0,30/03/2016,1,361
10302,PI,RS,10302PIRS,08/03/2016,16,  -   -,0,18/03/2016,1,395
11077,CH,M_,11077CHM_,08/03/2016,4,  -   -,0,31/03/2016,1,89
11077,CH,ZG,11077CHZG,08/03/2016,4,  -   -,0,01/04/2016,1,18
11077,P1,NE,11077P1NE,08/03/2016,4,  -   -,0,01/04/2016,1,320
11077,TX,PL,11077TXPL,08/03/2016,4,  -   -,0,04/04/2016,1,96
11077,VB,BL,11077VBBL,08/03/2016,4,  -   -,0,04/04/2016,1,24
11077,VB,NE,11077VBNE,08/03/2016,4,  -   -,0,04/04/2016,1,30
13582,CH,NE,13582CHNE,10/03/2016,6,  -   -,0,31/03/2016,1,186
13582,CH,PA,13582CHPA,10/03/2016,6,  -   -,0,31/03/2016,1,117
13582,VB,P7,13582VBP7,10/03/2016,6,  -   -,0,31/03/2016,1,12
10303,SI,NE,10303SINE,11/03/2016,16,  -   -,0,23/03/2016,1,500
10329,CH,RS,10329CHRS,11/03/2016,24,  -   -,0,12/04/2016,1,20
10302,PI,RS,10302PIRS,14/03/2016,16,  -   -,0,31/03/2016,1,300
10303,SI,CA,10303SICA,14/03/2016,16,  -   -,0,23/03/2016,1,200
1610,FL,NE,1610FLNE,14/03/2016,25,  -   -,0,12/04/2016,1,120
1610,FL,RO,1610FLRO,14/03/2016,25,  -   -,0,12/04/2016,1,120
10291,CH,AL,10291CHAL,15/03/2016,12,  -   -,0,31/03/2016,1,400
1525,SI,NE,1525SINE,15/03/2016,25,  -   -,0,01/04/2016,1,20
1525,SI,TN,1525SITN,15/03/2016,25,  -   -,0,01/04/2016,1,20
1608,TX,C6,1608TXC6,15/03/2016,26,  -   -,0,01/04/2016,1,120
1608,TX,NE,1608TXNE,15/03/2016,26,  -   -,0,09/04/2016,1,120
10329,CH,RS,10329CHRS,17/03/2016,24,  -   -,0,16/04/2016,1,120
12647,CH,NE,12647CHNE,18/03/2016,2,  -   -,0,18/04/2016,1,821
12647,CH,ES,12647CHES,28/03/2016,2,  -   -,0,14/04/2016,1,554
12647,VB,NE,12647VBNE,28/03/2016,2,  -   -,0,14/04/2016,1,516
19356,TX,PL,19356TXPL,28/03/2016,11,  -   -,0,08/04/2016,1,114
75015,PI,DU,75015PIDU,28/03/2016,28,  -   -,0,04/05/2016,1,268
75015,SI,AM,75015SIAM,28/03/2016,28,  -   -,0,02/05/2016,1,113
75015,SI,CH,75015SICH,28/03/2016,28,  -   -,0,04/05/2016,1,64
75015,SI,NE,75015SINE,28/03/2016,28,  -   -,0,04/05/2016,1,16
75015,SK,PE,75015SKPE,28/03/2016,28,  -   -,0,02/05/2016,1,278
75015,SK,PL,75015SKPL,28/03/2016,28,  -   -,0,04/05/2016,1,100
75015,SM,NE,75015SMNE,28/03/2016,28,  -   -,0,04/05/2016,1,140
75015,SM,PA,75015SMPA,28/03/2016,28,  -   -,0,04/05/2016,1,14
75015,SM,VI,75015SMVI,28/03/2016,28,  -   -,0,04/05/2016,1,24
10303,SI,CA,10303SICA,29/03/2016,16,  -   -,0,07/04/2016,1,250
10303,SI,NE,10303SINE,29/03/2016,16,  -   -,0,08/04/2016,1,500
1525,SI,NE,1525SINE,29/03/2016,25,  -   -,0,16/04/2016,1,120
1525,SI,TN,1525SITN,29/03/2016,25,  -   -,0,16/04/2016,1,120
2004,SA,M_,2004SAM_,29/03/2016,26,  -   -,0,05/04/2016,1,20
2004,SA,NE,2004SANE,29/03/2016,26,  -   -,0,05/04/2016,1,20
10302,PI,NE,10302PINE,30/03/2016,16,  -   -,0,11/04/2016,1,200
10302,PI,RS,10302PIRS,30/03/2016,16,  -   -,0,08/04/2016,1,200
12647,VB,BL,12647VBBL,30/03/2016,2,  -   -,0,16/04/2016,1,683
12647,VB,NE,12647VBNE,30/03/2016,2,  -   -,0,18/04/2016,1,372
12669,SI,PM,12669SIPM,01/04/2016,3,  -   -,0,23/04/2016,1,21
12691,EC,PL,12691ECPL,01/04/2016,2,  -   -,0,27/04/2016,1,150
13618,SI,NE,13618SINE,01/04/2016,3,  -   -,0,03/05/2016,1,12
75015,CH,BL,75015CHBL,04/04/2016,28,  -   -,0,09/05/2016,1,12
75015,CH,NE,75015CHNE,04/04/2016,28,  -   -,0,12/05/2016,1,282
75015,CH,N_,75015CHN_,04/04/2016,28,  -   -,0,11/05/2016,1,13
75015,CH,PA,75015CHPA,04/04/2016,28,  -   -,0,11/05/2016,1,227
75015,CH,PO,75015CHPO,04/04/2016,28,  -   -,0,10/05/2016,1,25
75015,CH,RO,75015CHRO,04/04/2016,28,  -   -,0,11/05/2016,1,60
75015,SI,AM,75015SIAM,04/04/2016,28,  -   -,0,11/05/2016,1,29
75015,SI,CH,75015SICH,04/04/2016,28,  -   -,0,10/05/2016,1,14
75015,SI,NE,75015SINE,04/04/2016,28,  -   -,0,10/05/2016,1,15
75015,SK,PE,75015SKPE,04/04/2016,28,  -   -,0,11/05/2016,1,23
75015,SK,PL,75015SKPL,04/04/2016,28,  -   -,0,11/05/2016,1,43
75015,SM,NE,75015SMNE,04/04/2016,28,  -   -,0,11/05/2016,1,63
75015,SM,PA,75015SMPA,04/04/2016,28,  -   -,0,10/05/2016,1,24
75015,SM,VI,75015SMVI,04/04/2016,28,  -   -,0,11/05/2016,1,33
75015,VB,BL,75015VBBL,04/04/2016,28,  -   -,0,11/05/2016,1,96
75015,VB,M_,75015VBM_,04/04/2016,28,  -   -,0,10/05/2016,1,16
75015,VB,NE,75015VBNE,04/04/2016,28,  -   -,0,11/05/2016,1,40
75017,GL,CH,75017GLCH,04/04/2016,28,  -   -,0,10/05/2016,1,195
75017,GL,NE,75017GLNE,04/04/2016,28,  -   -,0,10/05/2016,1,10
75017,GL,PL,75017GLPL,04/04/2016,28,  -   -,0,12/05/2016,1,78
75017,SI,NE,75017SINE,04/04/2016,28,  -   -,0,10/05/2016,1,15
10303,SI,NE,10303SINE,05/04/2016,16,  -   -,0,14/04/2016,1,194
12647,CH,AY,12647CHAY,05/04/2016,2,  -   -,0,23/04/2016,1,22
12647,CH,ES,12647CHES,05/04/2016,2,  -   -,0,23/04/2016,1,367
12647,CH,G3,12647CHG3,05/04/2016,2,  -   -,0,23/04/2016,1,15
12647,CH,N_,12647CHN_,05/04/2016,2,  -   -,0,23/04/2016,1,19
12647,CH,PA,12647CHPA,05/04/2016,2,  -   -,0,23/04/2016,1,616
12647,CH,PO,12647CHPO,05/04/2016,2,  -   -,0,26/04/2016,1,52
2004,SA,M_,2004SAM_,05/04/2016,26,  -   -,0,20/04/2016,1,120
2004,SA,NE,2004SANE,05/04/2016,26,  -   -,0,20/04/2016,1,120
10302,PI,NE,10302PINE,06/04/2016,16,  -   -,0,15/04/2016,1,198
10302,PI,RS,10302PIRS,06/04/2016,16,  -   -,0,15/04/2016,1,498
12647,GL,CH,12647GLCH,06/04/2016,2,  -   -,0,28/04/2016,1,12
12647,GL,PL,12647GLPL,06/04/2016,2,  -   -,0,29/04/2016,1,12
12647,SM,PA,12647SMPA,06/04/2016,2,  -   -,0,30/04/2016,1,51
12647,SM,VI,12647SMVI,06/04/2016,2,  -   -,0,28/04/2016,1,24
75015,SM,NE,75015SMNE,07/04/2016,28,  -   -,0,12/05/2016,1,133
10303,SI,NE,10303SINE,08/04/2016,16,  -   -,0,19/04/2016,1,500
12647,SK,PE,12647SKPE,08/04/2016,2,  -   -,0,27/04/2016,1,568
12647,SK,PL,12647SKPL,08/04/2016,2,  -   -,0,26/04/2016,1,253
10303,SI,NE,10303SINE,11/04/2016,16,  -   -,0,21/04/2016,1,500
10525,AN,NE,10525ANNE,11/04/2016,1,  -   -,0,22/04/2016,1,64
10525,CH,NE,10525CHNE,11/04/2016,1,  -   -,0,22/04/2016,1,206
10525,CH,PA,10525CHPA,11/04/2016,1,  -   -,0,23/04/2016,1,102
75015,CH,NE,75015CHNE,11/04/2016,28,  -   -,0,17/05/2016,1,245
75015,CH,PA,75015CHPA,11/04/2016,28,  -   -,0,18/05/2016,1,188
75015,CH,PO,75015CHPO,11/04/2016,28,  -   -,0,16/05/2016,1,36
75015,SI,PI,75015SIPI,11/04/2016,28,  -   -,0,16/05/2016,1,21
75015,SM,NE,75015SMNE,11/04/2016,28,  -   -,0,16/05/2016,1,50
75015,VB,BL,75015VBBL,11/04/2016,28,  -   -,0,17/05/2016,1,12
75017,GL,CH,75017GLCH,11/04/2016,28,  -   -,0,17/05/2016,1,24
75017,GL,PL,75017GLPL,11/04/2016,28,  -   -,0,16/05/2016,1,24
10302,PI,NE,10302PINE,12/04/2016,16,  -   -,0,21/04/2016,1,200
10302,PI,RS,10302PIRS,12/04/2016,16,  -   -,0,20/04/2016,1,400
10302,PI,RS,10302PIRS,13/04/2016,26,  -   -,0,22/04/2016,1,600
75015,CH,BL,75015CHBL,13/04/2016,28,  -   -,0,14/05/2016,1,81
75015,CH,NE,75015CHNE,13/04/2016,28,  -   -,0,16/05/2016,1,196
75015,CH,PA,75015CHPA,13/04/2016,28,  -   -,0,16/05/2016,1,187
75015,CH,RO,75015CHRO,13/04/2016,28,  -   -,0,16/05/2016,1,16
75015,CH,ZG,75015CHZG,13/04/2016,28,  -   -,0,14/05/2016,1,23
75015,SI,AM,75015SIAM,13/04/2016,28,  -   -,0,16/05/2016,1,16
75015,SK,PE,75015SKPE,13/04/2016,28,  -   -,0,16/05/2016,1,72
75015,SK,PL,75015SKPL,13/04/2016,28,  -   -,0,14/05/2016,1,12
75015,VB,BL,75015VBBL,13/04/2016,28,  -   -,0,14/05/2016,1,16
2004,SA,M_,2004SAM_,14/04/2016,16,  -   -,0,27/04/2016,1,300
2004,SA,NE,2004SANE,14/04/2016,16,  -   -,0,26/04/2016,1,200
2004,SA,M_,2004SAM_,15/04/2016,16,  -   -,0,04/05/2016,1,300
2004,SA,NE,2004SANE,15/04/2016,16,  -   -,0,04/05/2016,1,200
1604,ME,AL,1604MEAL,18/04/2016,16,  -   -,0,04/05/2016,1,250
1604,TX,NE,1604TXNE,18/04/2016,16,  -   -,0,28/04/2016,1,300
75015,SM,NE,75015SMNE,18/04/2016,28,  -   -,0,24/05/2016,1,361
75015,SM,PA,75015SMPA,18/04/2016,28,  -   -,0,23/05/2016,1,300
75017,GL,CH,75017GLCH,18/04/2016,28,  -   -,0,20/05/2016,1,33
75017,GL,PL,75017GLPL,18/04/2016,28,  -   -,0,24/05/2016,1,212
1608,TX,C6,1608TXC6,19/04/2016,16,  -   -,0,29/04/2016,1,150
1608,TX,NE,1608TXNE,19/04/2016,16,  -   -,0,04/05/2016,1,200
75015,CH,NE,75015CHNE,19/04/2016,28,  -   -,0,19/05/2016,1,36
75015,CH,PA,75015CHPA,19/04/2016,28,  -   -,0,25/05/2016,1,38
75015,CH,RO,75015CHRO,19/04/2016,28,  -   -,0,24/05/2016,1,24
75015,CH,ZG,75015CHZG,19/04/2016,28,  -   -,0,23/05/2016,1,36
75015,SM,NE,75015SMNE,19/04/2016,28,  -   -,0,24/05/2016,1,24
75015,SM,PA,75015SMPA,19/04/2016,28,  -   -,0,24/05/2016,1,24
75015,SM,VI,75015SMVI,19/04/2016,28,  -   -,0,23/05/2016,1,18
75015,VB,BL,75015VBBL,19/04/2016,28,  -   -,0,20/05/2016,1,112
75015,VB,NE,75015VBNE,19/04/2016,28,  -   -,0,24/05/2016,1,100
75017,GL,PL,75017GLPL,19/04/2016,28,  -   -,0,23/05/2016,1,12
10302,PI,RS,10302PIRS,20/04/2016,16,  -   -,0,04/05/2016,1,500
10329,CH,RS,10329CHRS,20/04/2016,14,  -   -,0,05/05/2016,1,400
1603,SI,NE,1603SINE,20/04/2016,14,  -   -,0,03/05/2016,1,11
1525,SI,NE,1525SINE,21/04/2016,15,  -   -,0,06/05/2016,1,200
1525,SI,TN,1525SITN,21/04/2016,15,  -   -,0,06/05/2016,1,250
2004,SA,M_,2004SAM_,21/04/2016,16,  -   -,0,05/05/2016,1,200
2004,SA,NE,2004SANE,21/04/2016,16,  -   -,0,06/05/2016,1,200
11571,SM,NE,11571SMNE,22/04/2016,1,  -   -,0,18/05/2016,1,8
1604,ME,AL,1604MEAL,22/04/2016,16,  -   -,0,10/05/2016,1,250
1604,TX,NE,1604TXNE,22/04/2016,16,  -   -,0,11/05/2016,1,300
95151,AN,RP,95151ANRP,22/04/2016,1,  -   -,0,18/05/2016,1,22
95151,AN,ZG,95151ANZG,22/04/2016,1,  -   -,0,18/05/2016,1,21
1608,TX,C6,1608TXC6,25/04/2016,16,  -   -,0,05/05/2016,1,150
1608,TX,NE,1608TXNE,25/04/2016,16,  -   -,0,04/05/2016,1,200
75015,CH,NE,75015CHNE,25/04/2016,28,  -   -,0,27/05/2016,1,82
75015,CH,PA,75015CHPA,25/04/2016,28,  -   -,0,31/05/2016,1,80
75015,CH,PO,75015CHPO,25/04/2016,28,  -   -,0,30/05/2016,1,73
75015,SK,PE,75015SKPE,25/04/2016,28,  -   -,0,27/05/2016,1,36
75015,SK,PL,75015SKPL,25/04/2016,28,  -   -,0,27/05/2016,1,59
75015,VB,NE,75015VBNE,25/04/2016,28,  -   -,0,27/05/2016,1,14
75017,GL,CH,75017GLCH,25/04/2016,28,  -   -,0,27/05/2016,1,41
75017,GL,PL,75017GLPL,25/04/2016,28,  -   -,0,27/05/2016,1,45
10302,PI,NE,10302PINE,26/04/2016,16,  -   -,0,05/05/2016,1,200
10302,PI,RS,10302PIRS,26/04/2016,16,  -   -,0,16/05/2016,1,500
12647,SC,DU,12647SCDU,28/04/2016,1,  -   -,0,23/05/2016,1,595
12647,SC,TM,12647SCTM,28/04/2016,1,  -   -,0,21/05/2016,1,300
1525,SI,NE,1525SINE,28/04/2016,15,  -   -,0,16/05/2016,1,200
1525,SI,TN,1525SITN,28/04/2016,15,  -   -,0,16/05/2016,1,250
10302,PI,RS,10302PIRS,29/04/2016,16,  -   -,0,09/07/2016,1,390
10329,CH,RS,10329CHRS,29/04/2016,14,  -   -,0,16/05/2016,1,400
19356,TX,PL,19356TXPL,02/05/2016,11,  -   -,0,11/05/2016,1,189
2004,SA,M_,2004SAM_,02/05/2016,16,  -   -,0,17/05/2016,1,200
75015,CH,PA,75015CHPA,02/05/2016,28,  -   -,0,27/05/2016,1,38
75015,CH,PO,75015CHPO,02/05/2016,28,  -   -,0,27/05/2016,1,33
